gene,Relative.Growth.Rate,phenotype,lower,upper,variance,timesAnalysed
PBANKA_114550,0.914955965,Dispensable,0.761539193,1.068372737,0.005884176,1
PBANKA_114560,0.102462334,Essential,-0.015871589,0.220796256,0.003500729,2
PBANKA_114590,1.160815721,Dispensable,0.971315661,1.350315782,0.008977568,1
PBANKA_120060,0.914456507,Dispensable,0.79560844,1.033304575,0.003531216,1
PBANKA_120090,0.069338731,Essential,0.001595816,0.137081646,0.001147276,2
PBANKA_120110,0.956051701,Dispensable,0.757956709,1.154146693,0.009810406,1
PBANKA_120150,0.053815996,Essential,-0.012813485,0.120445477,0.001109872,2
PBANKA_120160,0.240279318,Slow,0.139416987,0.341141649,0.002543302,2
PBANKA_120180,0.778341436,Slow,0.652525501,0.90415737,0.003957412,2
PBANKA_120200,0.682739411,Slow,0.551514756,0.813964066,0.004304978,3
PBANKA_120220,0.836936516,Insufficient data,-0.226880072,1.900753104,0.282926433,2
PBANKA_120230,1.017040481,Dispensable,0.930988225,1.103092737,0.001851248,1
PBANKA_120240,0.15116467,Essential,0.041674267,0.260655073,0.002997037,2
PBANKA_120250,0.177092705,Essential,0.084754321,0.26943109,0.002131594,2
PBANKA_120260,0.786209275,Dispensable,0.523056689,1.049361862,0.017312321,2
PBANKA_120280,0.158922499,Essential,0.039890335,0.277954662,0.003542164,2
PBANKA_120290,0.939662077,Dispensable,0.751541419,1.127782735,0.008847345,1
PBANKA_120310,0.312052019,Essential,0.061855133,0.562248904,0.01564962,3
PBANKA_120360,1.048327183,Dispensable,0.888555199,1.208099168,0.006381772,1
PBANKA_120370,0.847580546,Dispensable,0.473798507,1.221362584,0.034928253,1
PBANKA_120380,1.066485511,Dispensable,0.958974046,1.173996976,0.002889679,1
PBANKA_120390,0.235889996,Essential,0.084868621,0.386911371,0.005701864,2
PBANKA_120400,0.842007698,Dispensable,0.645400573,1.038614824,0.00966359,1
PBANKA_120410,0.091625552,Essential,0.046196695,0.13705441,0.000515945,2
PBANKA_120420,0.882374027,Dispensable,0.717582623,1.047165432,0.006789052,1
PBANKA_120440,0.480501098,Slow,0.36965234,0.591349856,0.003071862,2
PBANKA_120500,0.442892221,Slow,0.32687444,0.558910002,0.003365031,2
PBANKA_120520,1.017438517,Dispensable,0.891678835,1.143198199,0.003953874,1
PBANKA_120530,0.938302607,Dispensable,0.833003466,1.043601747,0.002771977,1
PBANKA_120540,0.882584928,Dispensable,0.75212473,1.013045127,0.004254966,1
PBANKA_120570,1.027731703,Dispensable,0.873407941,1.182055464,0.005953956,1
PBANKA_120610,0.1,Essential,-0.644260141,1.327718864,0.243043825,2
PBANKA_120620,0.195720454,Essential,0.057291159,0.334149749,0.004790667,2
PBANKA_120640,0.438324874,Slow,0.35415912,0.522490627,0.001770968,2
PBANKA_120660,0.061805354,Essential,-0.048583638,0.172194346,0.003046432,2
PBANKA_120680,1.020395508,Dispensable,0.874749763,1.166041253,0.005303171,1
PBANKA_120690,0.071826489,Essential,-0.01028499,0.153937967,0.001685574,2
PBANKA_120710,0.979746577,Dispensable,0.810689581,1.148803572,0.007145067,1
PBANKA_120720,0.061829093,Essential,-0.631670312,0.755328497,0.120235356,1
PBANKA_120740,1.017717791,Dispensable,0.921212774,1.114222809,0.002328305,1
PBANKA_120750,0.265987769,Essential,-0.164873956,0.696849494,0.046410457,3
